best_train_metrics,"{'mse': 94.9115281745569, 'ux': 5.771453368723096, 'uy': 89.14007462079252}"
best_train_loss,3870042.0703125
best_test_metrics,"{'mse': 80.49942555593614, 'ux': 5.617805820199387, 'uy': 74.88162307359686}"
best_test_loss,820596.2551269531
